codigo_ibge,codigo_ibge_completo,nome,ano,populacao,fonte
410100,4101002,Ampére,2022,19620,"IBGE — Censo Demográfico 2022, população residente"
410260,4102604,Barracão,2022,9759,"IBGE — Censo Demográfico 2022, população residente"
410275,4102752,Bela Vista da Caroba,2022,4031,"IBGE — Censo Demográfico 2022, população residente"
410302,4103024,Boa Esperança do Iguaçu,2022,2455,"IBGE — Censo Demográfico 2022, população residente"
410315,4103156,Bom Jesus do Sul,2022,3980,"IBGE — Censo Demográfico 2022, população residente"
410322,4103222,Bom Sucesso do Sul,2022,3202,"IBGE — Censo Demográfico 2022, população residente"
410450,4104501,Capanema,2022,20481,"IBGE — Censo Demográfico 2022, população residente"
410540,4105409,Chopinzinho,2022,21085,"IBGE — Censo Demográfico 2022, população residente"
410570,4105706,Clevelândia,2022,15070,"IBGE — Censo Demográfico 2022, população residente"
410645,4106456,Coronel Domingos Soares,2022,5649,"IBGE — Censo Demográfico 2022, população residente"
410650,4106506,Coronel Vivida,2022,23331,"IBGE — Censo Demográfico 2022, população residente"
410657,4106571,Cruzeiro do Iguaçu,2022,4133,"IBGE — Censo Demográfico 2022, população residente"
410720,4107207,Dois Vizinhos,2022,44869,"IBGE — Censo Demográfico 2022, população residente"
410740,4107405,Enéas Marques,2022,5999,"IBGE — Censo Demográfico 2022, população residente"
410785,4107850,Flor da Serra do Sul,2022,4364,"IBGE — Censo Demográfico 2022, população residente"
410840,4108403,Francisco Beltrão,2022,96666,"IBGE — Censo Demográfico 2022, população residente"
410965,4109658,Honório Serpa,2022,4941,"IBGE — Censo Demográfico 2022, população residente"
411120,4111209,Itapejara d'Oeste,2022,12344,"IBGE — Censo Demográfico 2022, população residente"
411435,4114351,Manfrinópolis,2022,2770,"IBGE — Censo Demográfico 2022, população residente"
411440,4114401,Mangueirinha,2022,16603,"IBGE — Censo Demográfico 2022, população residente"
411530,4115309,Mariópolis,2022,6371,"IBGE — Censo Demográfico 2022, população residente"
411540,4115408,Marmeleiro,2022,15901,"IBGE — Censo Demográfico 2022, população residente"
411695,4116950,Nova Esperança do Sudoeste,2022,5597,"IBGE — Censo Demográfico 2022, população residente"
411725,4117255,Nova Prata do Iguaçu,2022,12699,"IBGE — Censo Demográfico 2022, população residente"
411760,4117602,Palmas,2022,48247,"IBGE — Censo Demográfico 2022, população residente"
411850,4118501,Pato Branco,2022,91836,"IBGE — Censo Demográfico 2022, população residente"
411900,4119004,Pérola d'Oeste,2022,6221,"IBGE — Censo Demográfico 2022, população residente"
411925,4119251,Pinhal de São Bento,2022,2761,"IBGE — Censo Demográfico 2022, população residente"
411980,4119806,Planalto,2022,14374,"IBGE — Censo Demográfico 2022, população residente"
412035,4120358,Pranchita,2022,5737,"IBGE — Censo Demográfico 2022, população residente"
412140,4121406,Realeza,2022,19247,"IBGE — Censo Demográfico 2022, população residente"
412160,4121604,Renascença,2022,6845,"IBGE — Censo Demográfico 2022, população residente"
412280,4122800,Salgado Filho,2022,4075,"IBGE — Censo Demográfico 2022, população residente"
412300,4123006,Salto do Lontra,2022,15223,"IBGE — Censo Demográfico 2022, população residente"
412380,4123808,Santa Izabel do Oeste,2022,14070,"IBGE — Censo Demográfico 2022, população residente"
412440,4124400,Santo Antônio do Sudoeste,2022,23673,"IBGE — Censo Demográfico 2022, população residente"
412480,4124806,São João,2022,11886,"IBGE — Censo Demográfico 2022, população residente"
412520,4125209,São Jorge d'Oeste,2022,9378,"IBGE — Censo Demográfico 2022, população residente"
412627,4126272,Saudade do Iguaçu,2022,6108,"IBGE — Censo Demográfico 2022, população residente"
412665,4126652,Sulina,2022,3440,"IBGE — Censo Demográfico 2022, população residente"
412860,4128609,Verê,2022,7932,"IBGE — Censo Demográfico 2022, população residente"
412870,4128708,Vitorino,2022,9706,"IBGE — Censo Demográfico 2022, população residente"
